Keyword,Position,Review text,Reviewed at,Owner's answer,Profile name,Profile URL,Profile image URL,Rating,Reviews count,Photos count,Is local guide?
Starbucks Coffee Filateli,1,Very nice ambiance. Internet speed is very decent. There is long table for you to work in group. Barista is very kind. Parking could ve difficult. Accepting cashless payment.,2021-11-22 04:59:36 +00:00,,Try Juandha,https://www.google.com/maps/contrib/104223329014469653577?hl=en-EG&sa=X&ved=2ahUKEwj_r8P8sc70AhVSxIUKHQx6DLQQvvQBegQIARA_,https://lh3.googleusercontent.com/a-/AOh14GgLM-XnpaiWskpKL7GaGzbNaN4Xxjg_47aHnmUgC5I=s40-c-c0x00000000-cc-rp-mo-ba5-br100,5,273,1496,Yes
Starbucks Coffee Filateli,2,Housed in the new refurbished Post Bloc - a formerly state-owned post office in a Colonial heritage setting - the popular coffee joint will gonna be packed by the observers and passers-by. Don't forget to peruse and browse the hip tenants inside to add your IG reels and stories.,2021-11-06 04:59:36 +00:00,,David Kurniadi,https://www.google.com/maps/contrib/103978592353640352275?hl=en-EG&sa=X&ved=2ahUKEwj_r8P8sc70AhVSxIUKHQx6DLQQvvQBegQIARBO,https://lh3.googleusercontent.com/a-/AOh14GgAk3UHCHYqzjKbUzpnYqTFxN5zCkDLJigApK9xmQ=s40-c-c0x00000000-cc-rp-mo-ba3-br100,5,23,38,Yes
Starbucks Coffee Filateli,3,"This cafe is located in the very central of Jakarta. The building is vintage and tje interior is homy enough.
The menu is the same with other starbuck's cafes, the plus from this cafe is the location, close to the Monas, Pasar Senen, Lapangan Banteng and the National Mosque Istiqlal, the Philately Museum, the Cathedral, Pintu Air Commuterline station, etc.
Nice place stop wheb you're around Central Jakarta",2021-10-06 04:59:36 +00:00,,Krido Sadmoko,https://www.google.com/maps/contrib/106685074022558866356?hl=en-EG&sa=X&ved=2ahUKEwj_r8P8sc70AhVSxIUKHQx6DLQQvvQBegQIARBe,https://lh3.googleusercontent.com/a-/AOh14GjIaOMA0VcPwoXqez2WgTc27aofzWA7T_P_t8P-C5s=s40-c-c0x00000000-cc-rp-mo-ba7-br100,4,470,7801,Yes
Starbucks Coffee Filateli,4,"The air con is not too cold, maybe because the place quite crowded, service good as starbucks standard",2021-10-06 04:59:36 +00:00,,The Darkest Queen,https://www.google.com/maps/contrib/115334814164861928910?hl=en-EG&sa=X&ved=2ahUKEwj_r8P8sc70AhVSxIUKHQx6DLQQvvQBegQIARBv,https://lh3.googleusercontent.com/a/AATXAJzLno1yNNr780VQ0UlgWtKo2ImgMupVCJx37pKZ=s40-c-c0x00000000-cc-rp-mo-ba3-br100,4,46,29,Yes
Starbucks Coffee Filateli,5,"One of the best Starbucks outlets in town. Loved the location and how well-spaced it is between the tables. Morning is the best time to visit here, nice window lights and cozy ambience for both relaxing or discussing some ideas with friends.",2021-11-06 04:59:36 +00:00,,Stevie Sulaiman,https://www.google.com/maps/contrib/102227257040079911237?hl=en-EG&sa=X&ved=2ahUKEwj_r8P8sc70AhVSxIUKHQx6DLQQvvQBegQIARB9,https://lh3.googleusercontent.com/a-/AOh14Gg__NwHlFyU2JlhSJL9HMxKXK5fS84TDZOxp8Vw8Q=s40-c-c0x00000000-cc-rp-mo-br100,5,121,17,No
Starbucks Coffee Filateli,6,Cozy place to hang out with Friends,2021-11-06 04:59:36 +00:00,,Nur Azizah,https://www.google.com/maps/contrib/101444810923568381677?hl=en-EG&sa=X&ved=2ahUKEwj_r8P8sc70AhVSxIUKHQx6DLQQvvQBegUIARCIAQ,https://lh3.googleusercontent.com/a/AATXAJySU1rwteKC-FFhBGL2l7nf3mWiWOfCAKhc1TGl=s40-c-c0x00000000-cc-rp-mo-ba4-br100,5,34,216,Yes
Starbucks Coffee Filateli,7,Great place to hang out . Quite spacious. The staff are friendly and helpful,2021-07-06 04:59:36 +00:00,,Kamlesh RC,https://www.google.com/maps/contrib/114611424318441805855?hl=en-EG&sa=X&ved=2ahUKEwj_r8P8sc70AhVSxIUKHQx6DLQQvvQBegUIARCZAQ,https://lh3.googleusercontent.com/a/AATXAJyV3OlGdkofRVlmiYXPRkf91bs4Zl5KH75EYALJ=s40-c-c0x00000000-cc-rp-mo-ba4-br100,5,164,144,Yes
Starbucks Coffee Filateli,8,"Its a starbucks in a heritage building, the batavia colonial post office.
Its very cozy inside, with interiors dominated by wood and individual sofas which is plush enough. Sadly, there's no information about history of the place.
Expect the usual drinks and light bites from starbucks, but the service could be improved more. The barista team on duty seems impatient",2021-04-06 04:59:36 +00:00,,aryo nugroho,https://www.google.com/maps/contrib/108440268587255837810?hl=en-EG&sa=X&ved=2ahUKEwj_r8P8sc70AhVSxIUKHQx6DLQQvvQBegUIARCnAQ,https://lh3.googleusercontent.com/a-/AOh14Gj3-IBBAcoMsK9CJ1F-UOvUm2vxTJagqBSTSJqWnBI=s40-c-c0x00000000-cc-rp-mo-ba7-br100,4,900,6255,Yes
Starbucks Coffee Filateli,9,Starbucks is always a nice place to chill out wherever it is...,2021-11-06 04:59:36 +00:00,,Felicitas Alfi,https://www.google.com/maps/contrib/107152676738327958971?hl=en-EG&sa=X&ved=2ahUKEwj_r8P8sc70AhVSxIUKHQx6DLQQvvQBegUIARC_AQ,https://lh3.googleusercontent.com/a-/AOh14GgYPqYhdd07QGWc2vADct-RL2G69Mg7EV6tKyEl2g=s40-c-c0x00000000-cc-rp-mo-ba3-br100,5,25,66,Yes
Starbucks Coffee Filateli,10,Nice architecture & interior .. bicycle riders friendly..,2021-10-06 04:59:36 +00:00,,Dalee Harefa,https://www.google.com/maps/contrib/106867763390846142100?hl=en-EG&sa=X&ved=2ahUKEwj_r8P8sc70AhVSxIUKHQx6DLQQvvQBegUIARDMAQ,https://lh3.googleusercontent.com/a-/AOh14Gh98Vc5Y7Vz7nusZva52vqA9Pmwp2K5Tj87bIRNow=s40-c-c0x00000000-cc-rp-mo-br100,5,17,37,No
